book,lex,sp,vs,vt,ctyp,ptyp,gloss
2_chr,לא,nega,,,,NegP,not
2_chr,שׁאל,verb,qal,perf,,VP,ask
2_chr,עשׁר,subs,,,,NP,riches
2_chr,נכסימ,subs,,,,,riches
2_chr,ו,conj,,,,,and
2_chr,כבוד,subs,,,,,weight
2_chr,ו,conj,,,Ellp,CP,and
2_chr,את,prep,,,,PP,<object marker>
2_chr,נפשׁ,subs,,,,,soul
2_chr,שׂנא,verb,qal,ptca,,,hate
2_chr,ו,conj,,,WxQ0,CP,and
2_chr,גמ,advb,,,,NP,even
2_chr,יומ,subs,,,,,day
2_chr,רב,adjv,,,,,much
